Id da Delegacia (RDO),Número do Bo (RDO),Ano do BO (RDO),Data do Óbito,Data do Acidente,Tipo de via,Dia do óbito,Mês do Óbito,Mês Óbito Descrição,Ano do Óbito,Ano/Mês do Óbito,Dia da Semana,Hora do Acidente,Turno,Município,Região Administrativa,Logradouro,Númeral / KM,Jurisdição,Administração,Conservação,Tipo do local da ocorrência,LAT_(GEO),LONG_(GEO),Tipo do veículo da vítima,Tipo de vítima,Local do óbito,Tipo de acidente,Sub Tipo do Acidente,Tempo entre o Acidente e o óbito,Sexo,Faixa etária,Idade da vítima,Outro Veículo Envolvido
120514,889,2020,2020-04-30,2020-04-30,Rodovias,30,4,ABRIL,2020,2020.04,QUINTA,17:30:00,TARDE,ARACARIGUAMA,Sorocaba,SP 280,"50,0",ESTADUAL,CONCESSIONÁRIA,VIAOESTE,PUBLICO,-23.439186356765852,-47.06594547987233,ONIBUS,CONDUTOR,VIA,CHOQUE,VEÍCULO ESTACIONADO,Mesmo dia,MASCULINO,45-49,48.0,ONIBUS
120514,889,2020,2020-04-30,2020-04-30,Rodovias,30,4,ABRIL,2020,2020.04,QUINTA,17:30:00,TARDE,ARACARIGUAMA,Sorocaba,SP 280,"50,0",ESTADUAL,CONCESSIONÁRIA,VIAOESTE,PUBLICO,-23.439186356765852,-47.06594547987233,ONIBUS,PASSAGEIRO,ESTABELECIMENTO DE SAUDE,CHOQUE,VEÍCULO ESTACIONADO,Mesmo dia,MASCULINO,35-39,36.0,ONIBUS
110429,3887,2020,2020-04-30,2020-04-17,Rodovias,30,4,ABRIL,2020,2020.04,SEXTA,3:50:00,MADRUGADA,SAO JOSE DO RIO PRETO,São José do Rio Preto,BR 153,"57,5",FEDERAL,CONCESSIONÁRIA,TRANSBRASILIANA,PUBLICO,-20.77253231179157,-49.3508630750079,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,CHOQUE,DEFENSA / BARREIRA,Até 30 dias,MASCULINO,25-29,26.0,NÃO HÁ
30309,1745,2020,2020-04-30,2020-04-30,Rodovias,30,4,ABRIL,2020,2020.04,QUINTA,18:30:00,NOITE,SUZANO,Metropolitana de São Paulo,SP 021,"110,0",ESTADUAL,CONCESSIONÁRIA,SPMAR,PUBLICO,-23.56657969770508,-46.3421992367278,PEDESTRE,PEDESTRE,VIA,ATROPELAMENTO,CRUZANDO A VIA,Mesmo dia,MASCULINO,NAO DISPONIVEL,,AUTOMOVEL
70923,1373,2020,2020-04-30,2020-04-30,Vias Municipais,30,4,ABRIL,2020,2020.04,QUINTA,17:50:00,TARDE,LIMEIRA,Campinas,RUA ITAPEMA,"481,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-22.552483,-47.405759,BICICLETA,CONDUTOR,VIA,CHOQUE,MURO/PAREDE/TALUDE,Mesmo dia,FEMININO,30-34,30.0,NÃO HÁ
30221,851,2020,2020-04-30,2020-04-30,Vias Municipais,30,4,ABRIL,2020,2020.04,QUINTA,15:05:00,TARDE,GUARULHOS,Metropolitana de São Paulo,RUA JAMIL JOAO ZARIFE,"100,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.429836,-46.50151,MOTOCICLETA,CONDUTOR,VIA,NAO DISPONIVEL,NAO DISPONIVEL,Mesmo dia,MASCULINO,50-54,54.0,NAO DISPONIVEL
10358,973,2020,2020-04-30,2020-04-30,Vias Municipais,30,4,ABRIL,2020,2020.04,QUINTA,14:30:00,TARDE,SAO PAULO,Metropolitana de São Paulo,AVENIDA ANCHIETA,"1300,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.613014,-46.600755,MOTOCICLETA,CONDUTOR,VIA,COLISAO,LATERAL,Mesmo dia,MASCULINO,30-34,30.0,CAMINHAO
110709,474,2020,2020-04-30,2020-04-30,Vias Municipais,30,4,ABRIL,2020,2020.04,QUINTA,16:57:00,TARDE,FERNANDOPOLIS,São José do Rio Preto,RUA TUPA,"748,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-20.265387,-50.265075,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,OUTROS,TOMBAMENTO VEÍCULO DE 2 RODAS,Mesmo dia,MASCULINO,50-54,51.0,NAO DISPONIVEL
120300,2605,2020,2020-04-30,2020-04-30,Vias Municipais,30,4,ABRIL,2020,2020.04,QUINTA,19:20:00,NOITE,ITAPETININGA,Sorocaba,RUA SALVADOR DE OLIVEIRA LEME,"455,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.588393,-48.035503,MOTOCICLETA,CONDUTOR,VIA,COLISAO,LATERAL,Mesmo dia,MASCULINO,25-29,28.0,AUTOMOVEL
30217,1861,2020,2020-04-30,2020-04-30,Vias Municipais,30,4,ABRIL,2020,2020.04,QUINTA,17:50:00,TARDE,SAO PAULO,Metropolitana de São Paulo,AVENIDA CORONEL SEZEFREDO FAGUNDES,"5089,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.440805,-46.59295,BICICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,COLISAO,TRASEIRA,Mesmo dia,MASCULINO,18-24,18.0,CAMINHAO
